site_name,lat,long,predator_min_length,predator_max_length,length_units,length_measure,predator_stage,type_of_fish,sample_size,start_date,end_date,sampling interval,habitat,microhabitat,measurement_type,measurement_units,author,year,journal,citation,table_figure,notes,diatoms,filamentous algae,unidentified plant remains,unsegmented worms,Chaetopoda,Ephemeroptera_larvae,Odonata_larvae,Plecoptera_larvae,Coleoptera_larvae,Coleoptera_adult,Lepidoptera_larvae,unidentified insect,acarida,Unidentified debris
"Oxon Run, Washington, DC, USA",,,16,52,mm,,,Notropis procne,26,20-Jan,20-Jan,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl4,hand-entered b/c Able2Extract did not work,0,0,0,0,25,5,0,10,4,0,11,20,0,25
"Oxon Run, Washington, DC, USA",,,16,48,mm,,,Notropis procne,5,1-Feb,1-Feb,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl4,hand-entered b/c Able2Extract did not work,0,0,20,0,0,0,0,0,0,0,0,80,0,0
"Oxon Run, Washington, DC, USA",,,28,52,mm,,,Notropis procne,37,20-Mar,20-Mar,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl4,hand-entered b/c Able2Extract did not work,0,0,0,0,31,3,0,0,0,10,0,56,0,0
"Oxon Run, Washington, DC, USA",,,20,48,mm,,,Notropis procne,40,20-Apr,20-Apr,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl4,hand-entered b/c Able2Extract did not work,20,0,0,0.5,2,0,1,0,0,13,0,34,0.5,29
"Oxon Run, Washington, DC, USA",,,32,52,mm,,,Notropis procne,61,20-May,20-May,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl4,hand-entered b/c Able2Extract did not work,91,1,0,1,0,0,0,0,0,2,0,4,0,1
"Oxon Run, Washington, DC, USA",,,24,52,mm,,,Notropis procne,28,20-Jun,20-Jun,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl4,hand-entered b/c Able2Extract did not work,71,0,0,1,2,0,0,0,0,8,0,14,0,4
"Oxon Run, Washington, DC, USA",,,32,48,mm,,,Notropis procne,27,20-Jul,20-Jul,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl4,hand-entered b/c Able2Extract did not work,58,26,0,0,0,0,0,0,0,12,0,4,0,0
"Oxon Run, Washington, DC, USA",,,32,44,mm,,,Notropis procne,28,20-Sep,20-Sep,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl4,hand-entered b/c Able2Extract did not work,66,33,0,0,0,0,0,0,0,0,0,1,0,0
"Oxon Run, Washington, DC, USA",,,28,44,mm,,,Notropis procne,9,20-Oct,20-Oct,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl4,hand-entered b/c Able2Extract did not work,61,1,0,0,0,0,0,0,0,0,0,38,0,0
"Oxon Run, Washington, DC, USA",,,32,48,mm,,,Notropis procne,16,20-Nov,20-Nov,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl4,hand-entered b/c Able2Extract did not work,59,1,0,0,0,0,0,0,0,0,0,40,0,0
"Oxon Run, Washington, DC, USA",,,40,48,mm,,,Notropis procne,7,5-Dec,5-Dec,monthly,lotic,,abundance,percent,Crawford,1922,Scientific contributions of the New York Zoological Society,"Breder, C. M., & Crawford, D. R. (1922). The Food of Certain Minnows: A Study of the Seasonal Dietary Cycle of Six Cyprinoids with Especial Reference to Fish Culture. New York Zoological Society.",tbl4,hand-entered b/c Able2Extract did not work,0,0,0,0,64,14,0,8,0,0,0,14,0,0
