author,year,journal,citation,table_figure,source_id
Lachner,1950,Journal of the Washington Academy of Sciences,"Lachner, E. A. (1950). The comparative food habits of the cyprinid fishes Nocomis biguttatus and Nocomis micropogon in western New York. Journal of the Washington Academy of Sciences, 40(7), 229-236.",tbl3,418
Chavarie et al.,2016,Ecology of Freshwater Fish,"Chavarie, L., Howland, K., Gallagher, C., & Tonn, W. (2016). Fatty acid signatures and stomach contents of four sympatric L ake T rout: assessment of trophic patterns among morphotypes in G reat B ear L ake. Ecology of Freshwater Fish, 25(1), 109-124.",appendix 2,109
Flemmer & Woolcot,1966,Chesapeake Science,"Flemer, D. A., & Woolcott, W. S. (1966). Food habits and distribution of the fishes of Tuckahoe Creek, Virginia, with special emphasis on the bluegill, Lepomis m. macrochirus Rafinesque. Chesapeake Science, 7(2), 75-89.",tbl 3,210
Romand,1985,Journal of fish biology,"Romand, R. (1985). Feeding biology of Aplocheilichthys normani, Ahl, a small Cyprinodontidae from West Africa. Journal of fish biology, 26(4), 399-410.",tbl 1,654
Mathur,1977,American Midland Naturalist,"Mathur, D. (1977). Food habits and competitive relationships of the bandfin shiner in Halawakee Creek, Alabama.�American Midland Naturalist, 89-100.",tbl3,476
Ali et al.,2003,Bangladesh Journal of Fisheries Research,"Ali, M. S., Rahman, M. M., Hossain, L., & Mollah, M. F. A. (2003). Studies on the food habits of three species of Mastacembelidae. Bangladesh Journal of Fisheries Research, 7(1), 43-52.",tbl 1,21
Ali et al.,2003,Bangladesh Journal of Fisheries Research,"Ali, M. S., Rahman, M. M., Hossain, L., & Mollah, M. F. A. (2003). Studies on the food habits of three species of Mastacembelidae. Bangladesh Journal of Fisheries Research, 7(1), 43-52.",tbl 2,22
Ali et al.,2003,Bangladesh Journal of Fisheries Research,"Ali, M. S., Rahman, M. M., Hossain, L., & Mollah, M. F. A. (2003). Studies on the food habits of three species of Mastacembelidae. Bangladesh Journal of Fisheries Research, 7(1), 43-52.",tbl 3,23
Dineen,1951,The American Midland Naturalist,"Dineen, C. F. (1951). A comparative study of the food habits of Cottus bairdii and associated species of Salmonidae. The American Midland Naturalist, 46(3), 640-645.",tbl 4,167
Dineen,1951,The American Midland Naturalist,"Dineen, C. F. (1951). A comparative study of the food habits of Cottus bairdii and associated species of Salmonidae. The American Midland Naturalist, 46(3), 640-645.",tbl 5,168
Dineen,1951,The American Midland Naturalist,"Dineen, C. F. (1951). A comparative study of the food habits of Cottus bairdii and associated species of Salmonidae. The American Midland Naturalist, 46(3), 640-645.",tbl 6,169
Elakhame,2006,Tropical Freshwater Biology,"Elakhame, L. A. (2006). The distribution, feeding and reproduction of Clarioid species in Epie creek floodplain of the Niger delta, Nigeria. Tropical Freshwater Biology, 15(1), 83-94.",tbl2,185
Hess & Tarzwell,1941,American Journal of Epidemiology,"Hess, A. D., & Tarzwell, C. M. (1941). The feeding habits of Gambusia affinis affinis, with special reference to the malaria mosquito, Anopheles quadrimaculatus.",tbl 1c,297
Hickley and Bailey,1987,Journal of Fish Biology,"Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.",tbl 1,299
Hickley and Bailey,1987,Journal of Fish Biology,"Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.",tbl 2,300
Hickley and Bailey,1987,Journal of Fish Biology,"Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.",tbl 3,301
Hickley and Bailey,1987,Journal of Fish Biology,"Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.",tbl 4,302
Ndome & Victor,2002,West African Journal of Applied Ecology,"Ndome, C. B., & Victor, R. (2002). Food and feeding habits of Epiplatys senegalensis (Pisces: Cyprinodontiformes; Cyprinodontidae) in a back water pond in Benin City, Southern Nigeria. West African Journal of Applied Ecology, 3(1).",tbl 2,548
Moyle and Senayake,1984,Journal of Zoology,"Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.",tbl 14,527
Phillips,1996,The Southwestern Naturalist,"Phillips, E., & Kilambi, R. V. (1996). Food habits of four benthic fish species (Etheostoma spectabile, Percina caprodes, Noturus exilis, Cottus carolinae) from northwest Arkansas streams. The Southwestern Naturalist, 41(1), 69-73.",tbl 1,612
