"","source_id","author","year","journal","citation","table_figure"
"1","0001H8AKSQPDVWH7CVQWY67YP1","Lachner",1950,"Journal of the Washington Academy of Sciences","Lachner, E. A. (1950). The comparative food habits of the cyprinid fishes Nocomis biguttatus and Nocomis micropogon in western New York. Journal of the Washington Academy of Sciences, 40(7), 229-236.","tbl_3"
"2","0001H8AKV2P54ZV85W5MW8Z5NX","Chavarie",2016,"Ecology of Freshwater Fish","Chavarie, L., Howland, K., Gallagher, C., & Tonn, W. (2016). Fatty acid signatures and stomach contents of four sympatric L ake T rout: assessment of trophic patterns among morphotypes in G reat B ear L ake. Ecology of Freshwater Fish, 25(1), 109-124.","apdx_2"
"3","0001H8AKV8H9WQG29HMCJ9BEKB","Flemmer",1966,"Chesapeake Science","Flemer, D. A., & Woolcott, W. S. (1966). Food habits and distribution of the fishes of Tuckahoe Creek, Virginia, with special emphasis on the bluegill, Lepomis m. macrochirus Rafinesque. Chesapeake Science, 7(2), 75-89.","tbl_3"
"4","0001H8AKW1DCKM7AWTZ57P7JKK","Romand",1985,"Journal of fish biology","Romand, R. (1985). Feeding biology of Aplocheilichthys normani, Ahl, a small Cyprinodontidae from West Africa. Journal of fish biology, 26(4), 399-410.","tbl_1"
"5","0001H8AKSQ2TAQ4GVQ473W3N8B","Mathur",1977,"American Midland Naturalist","Mathur, D. (1977). Food habits and competitive relationships of the bandfin shiner in Halawakee Creek, Alabama.�American Midland Naturalist, 89-100.","tbl_3"
"6","0001H8AKTX4S2C9PJKQ1WNX8BV","Ali",2003,"Bangladesh Journal of Fisheries Research","Ali, M. S., Rahman, M. M., Hossain, L., & Mollah, M. F. A. (2003). Studies on the food habits of three species of Mastacembelidae. Bangladesh Journal of Fisheries Research, 7(1), 43-52.","tbl_1"
"7","0001H8AKTX1JRW5NKRNV1B3X2H","Ali",2003,"Bangladesh Journal of Fisheries Research","Ali, M. S., Rahman, M. M., Hossain, L., & Mollah, M. F. A. (2003). Studies on the food habits of three species of Mastacembelidae. Bangladesh Journal of Fisheries Research, 7(1), 43-52.","tbl_2"
"8","0001H8AKTXEF3QGB7VZ0CXPDGR","Ali",2003,"Bangladesh Journal of Fisheries Research","Ali, M. S., Rahman, M. M., Hossain, L., & Mollah, M. F. A. (2003). Studies on the food habits of three species of Mastacembelidae. Bangladesh Journal of Fisheries Research, 7(1), 43-52.","tbl_3"
"9","0001H8AKV5PVR6QYMXHS69BVWB","Dineen",1951,"The American Midland Naturalist","Dineen, C. F. (1951). A comparative study of the food habits of Cottus bairdii and associated species of Salmonidae. The American Midland Naturalist, 46(3), 640-645.","tbl_4"
"10","0001H8AKV5Z8MRE1671NX13Q2X","Dineen",1951,"The American Midland Naturalist","Dineen, C. F. (1951). A comparative study of the food habits of Cottus bairdii and associated species of Salmonidae. The American Midland Naturalist, 46(3), 640-645.","tbl_5"
"11","0001H8AKV54JD16RDWVWVTZQZX","Dineen",1951,"The American Midland Naturalist","Dineen, C. F. (1951). A comparative study of the food habits of Cottus bairdii and associated species of Salmonidae. The American Midland Naturalist, 46(3), 640-645.","tbl_6"
"12","0001H8AKV6ATGJ1E80CEHVG2HK","Elakhame",2006,"Tropical Freshwater Biology","Elakhame, L. A. (2006). The distribution, feeding and reproduction of Clarioid species in Epie creek floodplain of the Niger delta, Nigeria. Tropical Freshwater Biology, 15(1), 83-94.","tbl_2"
"13","0001H8AKVCWE2A4F0FMXJJ3Z4C","Hess",1941,"American Journal of Epidemiology","Hess, A. D., & Tarzwell, C. M. (1941). The feeding habits of Gambusia affinis affinis, with special reference to the malaria mosquito, Anopheles quadrimaculatus.","tbl_1c"
"14","0001H8AKVC9S6Z1XBQVVFZXBY1","Hickley",1987,"Journal of Fish Biology","Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.","tbl_1"
"15","0001H8AKVCXJW0RWCKRZYY1NK3","Hickley",1987,"Journal of Fish Biology","Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.","tbl_2"
"16","0001H8AKVCWY5KF62T0DR2QPBR","Hickley",1987,"Journal of Fish Biology","Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.","tbl_3"
"17","0001H8AKVCF21KWQF7WRGKBRAK","Hickley",1987,"Journal of Fish Biology","Hickley, P., & Bailey, R. G. (1987). Food and feeding relationships of fish in the Sudd swamps (River Nile, southern Sudan). Journal of Fish Biology, 30(2), 147-159.","tbl_4"
"18","0001H8AKVTQQFWNCZ4VW5MEW1H","Ndome",2002,"West African Journal of Applied Ecology","Ndome, C. B., & Victor, R. (2002). Food and feeding habits of Epiplatys senegalensis (Pisces: Cyprinodontiformes; Cyprinodontidae) in a back water pond in Benin City, Southern Nigeria. West African Journal of Applied Ecology, 3(1).","tbl_2"
"19","0001H8AKVVNCYHWXXC9ARE787K","Moyle",1984,"Journal of Zoology","Moyle, P. B., & Senayake, F. R. (1984). Resource partitioning among the fishes of rainforest streams in Sri Lanka. Journal of Zoology, 202(2), 195-223.","tbl_14"
"20","0001H8AKVZAB24Y39RED6T5MME","Phillips",1996,"The Southwestern Naturalist","Phillips, E., & Kilambi, R. V. (1996). Food habits of four benthic fish species (Etheostoma spectabile, Percina caprodes, Noturus exilis, Cottus carolinae) from northwest Arkansas streams. The Southwestern Naturalist, 41(1), 69-73.","tbl_1"
"21","0001H8AKVZD8RE3T42TPGVDB99","Phillips",1996,"The Southwestern Naturalist","Phillips, E., & Kilambi, R. V. (1996). Food habits of four benthic fish species (Etheostoma spectabile, Percina caprodes, Noturus exilis, Cottus carolinae) from northwest Arkansas streams. The Southwestern Naturalist, 41(1), 69-73.","tbl_2"
"22","0001H8AKVZKDY37W0PVW9M9D6R","Phillips",1996,"The Southwestern Naturalist","Phillips, E., & Kilambi, R. V. (1996). Food habits of four benthic fish species (Etheostoma spectabile, Percina caprodes, Noturus exilis, Cottus carolinae) from northwest Arkansas streams. The Southwestern Naturalist, 41(1), 69-73.","tbl_2"
"23","0001H8AKVZ8RX3N7P9E6VNGFF1","Phillips",1996,"The Southwestern Naturalist","Phillips, E., & Kilambi, R. V. (1996). Food habits of four benthic fish species (Etheostoma spectabile, Percina caprodes, Noturus exilis, Cottus carolinae) from northwest Arkansas streams. The Southwestern Naturalist, 41(1), 69-73.","tbl_3"
"24","0001H8AKW57A2DTTAP58K7X2JA","Thompson",2014,"Journal of Applied Ichthyology","Thompson, H. A., & Simon, T. P. (2014). Diet shift response in round goby, Neogobius melanostomus, based on size, sex, depth, and habitat in the western basin of Lake Erie. Journal of Applied Ichthyology, 30(5), 955-961.","tbl_1"
